"","X","id.s","host_species","host_genus","host_order","host_class","gbif_id","iso3c","coord_status","coordinate_resolution_processed","gadm_adm1","gadm_adm2","gadm_adm3","start_date","end_date","temporal_resolution","number_of_hosts","trap_nights_clean","trap_nights_status","host_species_original","host_genus_original","event_date_raw","pathogen_record_id","pathogen_species_cleaned","pathogen_species_ncbi","ncbi_id","number_tested","number_positive","number_negative","number_inconclusive","pathogen_species_original","note","mean","Mahalanobis_dist","Marginality","Specificity","Suitability","mean.1","Centroid_d","Boundary_d","in_range_d","bp_X","bp_Y","Centroid_r","Boundary_r","in_range_r"
"33",21144,"david_259 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.8_1","CHL.8.3_1","CHL.8.3.3_1","2017-01-01","2017-12-31","year_only",0,652,"trapnight_reported","Abrothrix longipilis","Abrothrix","2017","david_366","Orthohantavirus andesense","Orthohantavirus andesense","1980456",0,0,0,0,"Andes orthohantavirus",NA,0.477819055318832,4.30730390548706,364.176605224609,0.0668879747390747,0.230135932564735,1,545.558810895921,14.7357671154024,TRUE,-71.554,-34.671,927.532267875176,45.028769096209,TRUE
"34",21246,"david_260 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.8_1","CHL.8.3_1","CHL.8.3.9_1","2002-01-01","2002-12-31","year_only",0,360,"trapnight_reported","Abrothrix longipilis","Abrothrix","2002","david_367","Orthohantavirus andesense","Orthohantavirus andesense","1980456",0,0,0,0,"Andes orthohantavirus",NA,0.655667006969452,8.9690523147583,320.963775634766,0.427734375,0.0297052003443241,1,545.883587703379,15.7077982816774,TRUE,-70.776,-34.766,914.884169161956,115.983365691511,TRUE
"35",21347,"david_261 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.8_1","CHL.8.3_1","CHL.8.3.9_1","2018-01-01","2018-12-31","year_only",0,600,"trapnight_reported","Abrothrix longipilis","Abrothrix","2018","david_368","Orthohantavirus andesense","Orthohantavirus andesense","1980456",0,0,0,0,"Andes orthohantavirus",NA,0.655667006969452,8.9690523147583,320.963775634766,0.427734375,0.0297052003443241,1,545.775166893518,15.6552737530727,TRUE,-70.776,-34.767,914.773234151335,115.989023557481,TRUE
"36",21448,"david_262 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.8_1","CHL.8.3_1","CHL.8.3.2_1","2012-01-01","2012-12-31","year_only",0,390,"trapnight_reported","Abrothrix longipilis","Abrothrix","2012","david_369","Orthohantavirus andesense","Orthohantavirus andesense","1980456",0,0,0,0,"Andes orthohantavirus",NA,0.338093996047974,3.5949718952179,557.047546386719,0.184365153312683,0.308651864528656,1,536.63945970734,31.9849019279926,TRUE,-70.994,-34.815,909.546961995807,98.0889453766892,TRUE
"37",21549,"david_263 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.12_1","CHL.12.2_1","CHL.12.2.9_1","2010-01-01","2010-12-31","year_only",2,450,"trapnight_reported","Abrothrix longipilis","Abrothrix","2010","david_370","Orthohantavirus andesense","Orthohantavirus andesense","1980456",2,0,2,0,"Andes orthohantavirus",NA,NA,0.0467259213328362,0.0467259213328362,0.0467259213328362,0.0467259213328362,NA,521.172533184528,2.01151085944141,FALSE,-72.147,-34.87,910.486845113915,0.404020402119205,TRUE
"38",21650,"david_264 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.12_1","CHL.12.2_1","CHL.12.2.9_1","2003-01-01","2003-12-31","year_only",3,300,"trapnight_reported","Abrothrix longipilis","Abrothrix","2003","david_371","Orthohantavirus andesense","Orthohantavirus andesense","1980456",3,0,3,0,"Andes orthohantavirus",NA,NA,0.0743726417422295,0.0743726417422295,0.0743726417422295,0.0743726417422295,NA,519.844574604357,2.65115173955951,FALSE,-72.154,-34.882,909.2409774531,0.863828352836608,TRUE
"39",21751,"david_265 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.12_1","CHL.12.2_1","CHL.12.2.5_1","2018-01-01","2018-12-31","year_only",0,270,"trapnight_reported","Abrothrix longipilis","Abrothrix","2018","david_372","Orthohantavirus andesense","Orthohantavirus andesense","1980456",0,0,0,0,"Andes orthohantavirus",NA,0.48489847779274,10.1655731201172,402.196350097656,0.0563686937093735,0.0172098893672228,1,516.309282375036,21.6775597965455,TRUE,-71.346,-34.955,895.016839003825,71.0450476714004,TRUE
"40",21852,"david_266 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.12_1","CHL.12.2_1","CHL.12.2.6_1","2002-01-01","2002-12-31","year_only",2,300,"trapnight_reported","Abrothrix longipilis","Abrothrix","2002","david_373","Orthohantavirus andesense","Orthohantavirus andesense","1980456",2,0,2,0,"Andes orthohantavirus",NA,0.322879910469055,11.1993112564087,427.46435546875,0.146581292152405,0.0106955310329795,1,517.960642128418,26.8662113019356,TRUE,-71.125,-34.967,892.937691100611,90.6344825373102,TRUE
"41",21953,"david_267 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.12_1","CHL.12.2_1","CHL.12.2.3_1","2010-01-01","2010-12-31","year_only",0,450,"trapnight_reported","Abrothrix longipilis","Abrothrix","2010","david_374","Orthohantavirus andesense","Orthohantavirus andesense","1980456",0,0,0,0,"Andes orthohantavirus",NA,0.480963438749313,3.92300367355347,487.907806396484,0.0355645678937435,0.269899249076843,1,510.593603991058,15.2556460378829,TRUE,-71.833,-34.971,896.331439042157,31.0551872629121,TRUE
"42",22054,"david_268 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.12_1","CHL.12.2_1","CHL.12.2.1_1","2004-01-01","2004-12-31","year_only",0,600,"trapnight_reported","Abrothrix longipilis","Abrothrix","2004","david_375","Orthohantavirus andesense","Orthohantavirus andesense","1980456",0,0,0,0,"Andes orthohantavirus",NA,0.480776131153107,7.56621265411377,386.948455810547,0.0525365732610226,0.0558813512325287,1,513.578608405771,20.3765259715762,TRUE,-71.317,-34.983,891.792200775663,74.6290964697413,TRUE
"43",22155,"david_269 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.12_1","CHL.12.4_1","CHL.12.4.2_1","2012-01-01","2012-12-31","year_only",0,360,"trapnight_reported","Abrothrix longipilis","Abrothrix","2012","david_376","Orthohantavirus andesense","Orthohantavirus andesense","1980456",0,0,0,0,"Andes orthohantavirus",NA,0.569270610809326,3.50088691711426,493.969970703125,0.00956406444311142,0.320647090673447,1,508.427773526206,16.8380355627585,TRUE,-71.847,-34.99,894.350518002124,29.7194270235321,TRUE
"44",22257,"david_270 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.12_1","CHL.12.2_1","CHL.12.2.5_1","2002-01-01","2002-12-31","year_only",0,270,"trapnight_reported","Abrothrix longipilis","Abrothrix","2002","david_377","Orthohantavirus andesense","Orthohantavirus andesense","1980456",0,0,0,0,"Andes orthohantavirus",NA,0.665408074855804,6.71980428695679,405.497863769531,0.0723959356546402,0.0813855826854706,1,505.947290263977,8.54628190443041,TRUE,-71.549,-35.03,887.760167886279,57.0372425727448,TRUE
"45",22358,"david_271 david_10","Abrothrix longipilis","Abrothrix","Rodentia","Mammalia",4265092,"CHL","valid","village","CHL.12_1","CHL.12.2_1","CHL.12.2.6_1","2012-01-01","2012-12-31","year_only",0,360,"trapnight_reported","Abrothrix longipilis","Abrothrix","2012","david_378","Orthohantavirus andesense","Orthohantavirus andesense","1980456",0,0,0,0,"Andes orthohantavirus",NA,0.45479080080986,4.63132667541504,342.39404296875,0.290279686450958,0.200871124863625,1,507.091528069531,5.89431008310565,TRUE,-70.773,-35.125,875.058765506998,116.211960877782,TRUE
