"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"m2prob_marg_raw_interaction_spatial",-6.36935489793766,2.88329152583039,-2323.96718484874,68.2183220993601,51.2702979945148,2.86935344332728,4647.93436969749,136.43664419872
"m1centrality_between_spatial",-6.43516950512153,3.72722690000432,-2324.03299945593,68.1896733889399,47.9748463085077,2.70535755744338,4648.06599891185,136.37934677788
"m2centroid_boundary_raw_interaction_spatial",-6.50920043146427,4.16907912084971,-2324.10703038228,68.2721296180058,50.3504027615041,2.80504929402779,4648.21406076455,136.544259236012
"m2marg_spec_within_interaction_spatial",-6.69626859033445,2.91099154574221,-2324.29409854115,68.2150404108825,51.4318262441137,2.93982803285137,4648.58819708229,136.430080821765
"m2centroid_boundary_raw_additive_spatial",-6.70965244260506,4.00126387071966,-2324.30748239342,68.3034054969307,50.7474529143469,2.78269427899308,4648.61496478684,136.606810993861
"m2centroid_boundary_within_additive_spatial",-6.76934037154471,3.88549532044708,-2324.36717032236,68.2566014564256,50.4792252344399,2.83257646145627,4648.73434064471,136.513202912851
"m1spec_within_spatial",-7.18482242914817,3.67749636479325,-2324.78265237996,68.1952763133058,48.3231484073612,2.7592276236439,4649.56530475992,136.390552626612
"m1prob_within_spatial",-7.18764214233858,3.85564884683634,-2324.78547209315,68.194641268664,47.9772640126881,2.66652077049776,4649.57094418629,136.389282537328
"m1centroid_raw_spatial",-7.24171780461668,3.63013699207122,-2324.83954775542,68.1919276308522,48.8454360377409,2.70378372704137,4649.67909551085,136.383855261704
"m1spec_raw_spatial",-7.32307323827326,3.65728379796129,-2324.92090318908,68.2219621624533,49.0016561862625,2.75758819458539,4649.84180637816,136.443924324907
"m1centroid_within_spatial",-7.45300611591777,3.65554498059405,-2325.05083606673,68.1998727728953,49.028162902588,2.74442013419777,4650.10167213345,136.399745545791
"m2marg_spec_raw_interaction_spatial",-7.643916836868,3.05026151587092,-2325.24174678768,68.2498877328844,51.2634191064908,2.87069395371381,4650.48349357536,136.499775465769
"m0_spatial",-7.67498535555444,3.63877069066354,-2325.27281530636,68.1610140884752,48.4376944959658,2.68434241285376,4650.54563061273,136.32202817695
"m1prob_raw_spatial",-8.29206741802179,3.8002530082392,-2325.88989736883,68.1522941027904,48.6599269670291,2.68944514332781,4651.77979473766,136.304588205581
