"longitude","latitude","n_records","n_assays","assays_present","n_species","species_present","total_tested","has_multiple_assays"
-80.37570700406,7.65176749294218,1,1,"Serology",1,"Zygodontomys brevicauda",84,FALSE
-80.279983,7.765383,1,1,"Culture/molecular",1,"Zygodontomys brevicauda",50,FALSE
-76.6692800413652,8.10798036743066,1,1,"Serology",1,"Zygodontomys brevicauda",5,FALSE
-76.57,8.54,2,2,"Culture/molecular, Serology",1,"Zygodontomys brevicauda",24,TRUE
-76.551,8.136,2,2,"Culture/molecular, Serology",1,"Zygodontomys brevicauda",2,TRUE
-75.15725052,8.900429505,1,1,"Serology",1,"Zygodontomys brevicauda",181,FALSE
-75.1333328333333,8.66666699999999,1,1,"Serology",1,"Zygodontomys brevicauda",44,FALSE
-75.1326475100509,8.66433482169869,1,1,"Serology",1,"Zygodontomys brevicauda",44,FALSE
-73.8641463993887,-40.9392297174528,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",154,FALSE
-73.63,4.15,2,1,"Culture/molecular",1,"Zygodontomys brevicauda",16,FALSE
-73.419,-37.706,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",9,FALSE
-73.379,-39.905,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",31,FALSE
-73.308,-37.796,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",9,FALSE
-73.2979371220269,-39.8971547134448,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",23,FALSE
-73.2916228184752,-40.0455848519415,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",51,FALSE
-73.273,-37.916,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",33,FALSE
-73.2666666666666,-37.9,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",33,FALSE
-73.204,-39.824,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",13,FALSE
-73.191,-41.416,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",15,FALSE
-73.1833,-41.4167,3,1,"Serology",3,"Abrothrix longipilis, Abrothrix olivaceus, Oligoryzomys longicaudatus",15,FALSE
-73.1667,-38.7,1,1,"Culture/molecular",1,"Oligoryzomys longicaudatus",1,FALSE
-73.115,-40.63,2,1,"Serology",2,"Abrothrix longipilis, Abrothrix olivaceus",15,FALSE
